Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Myles Turner,C,26,IND,6.5,11.8,0.548,1.5,4.0,0.373,5.0,7.8,0.638,3.5,4.5,0.783,1.4,1.4,0.6,1.7,18.0,18.387000000000004
Stanley Umude,SG,23,DET,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,3.15
Jonas Valančiūnas,C,30,NOP,5.6,10.3,0.547,0.5,1.4,0.349,5.2,8.9,0.577,2.3,2.8,0.826,2.8,1.8,0.3,2.0,14.1,15.548999999999996
Jarred Vanderbilt,PF,23,TOT,3.2,5.8,0.548,0.4,1.2,0.322,2.8,4.6,0.604,1.2,1.8,0.691,2.2,2.4,1.1,1.2,7.9,10.481000000000002
Fred VanVleet,PG,28,TOR,6.3,16.1,0.393,3.0,8.8,0.342,3.3,7.3,0.455,3.7,4.1,0.898,0.4,7.2,1.8,2.0,19.3,19.542
Devin Vassell,SG,22,SAS,6.9,15.7,0.439,2.7,7.0,0.387,4.2,8.7,0.48,2.1,2.6,0.78,0.2,3.6,1.1,1.5,18.5,18.376
Gabe Vincent,PG,26,MIA,3.4,8.3,0.402,1.7,5.1,0.334,1.6,3.2,0.512,1.0,1.1,0.872,0.4,2.5,0.9,1.4,9.4,9.197000000000001
Noah Vonleh,C,27,BOS,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.1,0.1,1.0,0.8,0.3,0.1,0.5,1.1,1.384
Nikola Vučević,C,32,CHI,7.3,14.0,0.52,1.5,4.2,0.349,5.8,9.8,0.594,1.6,1.9,0.835,1.9,3.2,0.7,1.7,17.6,18.792000000000005
Dean Wade,PF,26,CLE,1.7,4.0,0.412,1.0,2.9,0.354,0.6,1.1,0.56,0.3,0.5,0.652,0.5,0.8,0.6,0.4,4.7,5.319999999999999
Franz Wagner,SF,21,ORL,6.8,14.0,0.485,1.6,4.5,0.361,5.2,9.5,0.544,3.4,4.0,0.842,0.9,3.5,1.0,2.1,18.6,18.397000000000002
Moritz Wagner,C,25,ORL,3.5,6.9,0.5,0.9,2.9,0.313,2.6,4.1,0.631,2.7,3.2,0.841,1.2,1.5,0.6,1.2,10.5,11.326
Ish Wainright,SF,28,PHO,1.4,3.8,0.37,1.0,2.9,0.329,0.5,0.9,0.5,0.4,0.5,0.839,0.8,0.9,0.6,0.4,4.2,5.574000000000001
Jabari Walker,SF,20,POR,1.5,3.5,0.419,0.3,1.0,0.286,1.2,2.5,0.472,0.6,0.8,0.756,0.9,0.6,0.2,0.5,3.9,4.617
Kemba Walker,PG,32,DAL,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,1.9,2.3,0.81,0.3,2.1,0.2,0.4,8.0,8.224
Lonnie Walker IV,SG,24,LAL,4.2,9.4,0.448,1.6,4.4,0.365,2.6,5.0,0.522,1.6,1.9,0.858,0.3,1.1,0.5,0.8,11.7,11.608999999999998
John Wall,PG,32,LAC,4.1,9.9,0.408,1.0,3.2,0.303,3.1,6.7,0.459,2.3,3.3,0.681,0.4,5.2,0.8,2.4,11.4,10.132
T.J. Warren,PF-SF,29,TOT,3.1,6.4,0.489,0.5,1.6,0.328,2.6,4.8,0.542,0.7,0.8,0.8,0.6,1.0,0.5,0.5,7.5,8.108
Duane Washington Jr.,SG,22,PHO,3.0,8.3,0.367,1.3,3.6,0.36,1.7,4.7,0.372,0.5,0.8,0.667,0.1,2.0,0.2,1.1,7.9,6.883000000000002
P.J. Washington,PF,24,CHO,5.9,13.4,0.444,2.0,5.9,0.348,3.9,7.5,0.518,1.7,2.4,0.73,1.0,2.4,0.9,1.5,15.7,15.99
TyTy Washington Jr.,PG,21,HOU,1.9,5.2,0.363,0.6,2.6,0.238,1.3,2.6,0.488,0.3,0.6,0.556,0.1,1.5,0.5,0.5,4.7,4.8180000000000005
Yuta Watanabe,SF,28,BRK,2.0,4.0,0.491,1.0,2.3,0.444,0.9,1.7,0.557,0.6,0.8,0.723,0.5,0.8,0.4,0.4,5.6,5.989999999999999
Lindy Waters III,SG,25,OKC,1.7,4.3,0.393,1.4,4.0,0.358,0.3,0.4,0.75,0.4,0.5,0.8,0.4,0.7,0.3,0.2,5.2,5.786999999999999
Trendon Watford,PF,22,POR,2.9,5.2,0.56,0.4,1.0,0.391,2.5,4.2,0.602,1.2,1.6,0.72,0.7,2.1,0.5,1.1,7.4,7.5360000000000005
Peyton Watson,SG,20,DEN,1.3,2.6,0.492,0.3,0.6,0.429,1.0,2.0,0.511,0.5,0.9,0.55,0.3,0.5,0.1,0.3,3.3,3.524
Blake Wesley,SG,19,SAS,1.9,5.8,0.321,0.5,1.4,0.385,1.3,4.4,0.301,0.7,1.2,0.591,0.3,2.7,0.7,1.8,5.0,3.889
Russell Westbrook,PG,34,TOT,5.9,13.6,0.436,1.2,3.9,0.311,4.7,9.7,0.487,2.8,4.3,0.656,1.2,7.5,1.0,3.5,15.9,14.341000000000001
Coby White,SG,22,CHI,3.6,8.0,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.8,0.9,0.871,0.2,2.8,0.7,1.0,9.7,9.391
Derrick White,SG,28,BOS,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,2.0,2.3,0.875,0.6,3.9,0.7,1.2,12.4,12.533000000000001
Jack White,SF,25,DEN,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.1,0.2,0.667,0.4,0.2,0.2,0.1,1.2,1.8870000000000002
Joe Wieskamp,SF,23,TOR,0.3,1.6,0.214,0.3,1.3,0.25,0.0,0.2,0.0,0.0,0.0,,0.0,0.3,0.0,0.1,1.0,0.7849999999999999
Aaron Wiggins,SG,24,OKC,2.7,5.2,0.512,0.7,1.7,0.393,2.0,3.4,0.573,0.8,1.0,0.831,1.0,1.1,0.6,0.8,6.8,7.85
Andrew Wiggins,SF,27,GSW,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,1.2,1.9,0.611,1.6,2.3,1.2,1.3,17.1,18.973
